20221110	09:34:36	28b44966-dcda-4975-a6e9-038c2fa01108	POST	undefined	/register
20221110	09:34:45	4c40df51-3b70-42d5-abf8-628adf9e23ef	POST	undefined	/register
20221110	09:34:50	ad818db7-1ef4-41c1-8395-937ed1b8c37f	POST	undefined	/register
20221110	09:35:00	8a066243-dc7b-48db-ba44-6536bd010eb5	POST	undefined	/auth
20221110	09:35:44	db9afacc-5243-4506-9e4b-03a06d98eeb4	GET	undefined	/logout
20221110	09:38:32	27194a23-a58b-4b07-933b-81cf0b55708f	GET	undefined	/refresh
20221110	16:18:10	1cc62534-25bc-4bca-b760-6213d86f2156	GET	undefined	/employees
20221110	16:18:34	2e1fda0e-0a83-4a49-8f6e-f72345df30dc	GET	undefined	/employees
20221110	16:18:53	774d3260-82ba-4da5-951c-254f56b804f3	GET	undefined	/employees
20221110	16:19:00	221afa49-2542-41cd-9ca8-4a28d20ab1f8	GET	undefined	/employees
20221110	16:19:14	4b995d66-4c2c-451c-8f02-b85333094f45	GET	undefined	/auht
20221110	16:19:16	609e5192-9690-42fd-8948-494b5a0ae448	GET	undefined	/auth
20221110	16:19:18	8988e26f-5113-431d-bdab-e238fcf55d71	GET	undefined	/auth
20221110	16:19:43	24ff1caa-de34-4008-91d1-5bda1508d549	POST	undefined	/auth
20221110	16:19:53	84769e0d-c716-45d3-9b49-86ed5a26e8e5	POST	undefined	/auth
20221110	16:20:05	81e965f4-63e8-492f-8cf5-f34994cdf3f8	GET	undefined	/employeesa
20221110	16:20:17	2bf579fa-fc3c-4d53-b196-368590b3f17c	GET	undefined	/employees
20221110	16:20:19	26dc1119-1bd3-4b6c-90cc-9d091b8ef61d	GET	undefined	/employees
20221110	16:20:20	991d5ba1-b7c1-4905-b933-7fe2402a02ee	GET	undefined	/employees
20221110	16:20:21	9dc1ef1d-c95c-4332-b639-3319c84c922c	GET	undefined	/employees
20221110	16:20:21	02ec1bf1-c0df-43ad-b28b-1067ca4a384b	GET	undefined	/employees
20221110	16:20:22	e51d4f84-8087-41b2-a022-1ee634f7776e	GET	undefined	/employees
20221110	16:20:22	bd6f1196-9aa5-4bff-a534-5aa85a885dc3	GET	undefined	/employees
20221110	16:20:23	852fd05f-d50f-46ce-9c54-fdaca437dea6	GET	undefined	/employees
20221110	16:20:24	eb0f19c0-55ed-4339-a987-b1ef4a24344c	GET	undefined	/employees
20221110	16:20:29	1bf81d30-76df-4a87-8553-e564b8d5c506	GET	undefined	/employees
20221110	16:20:39	b9640d4b-1779-46ef-944d-5e4191b8618a	GET	undefined	/auth
20221110	16:20:41	ad266c0c-0fb7-4931-b4c1-3132c549e4d7	GET	undefined	/auth
20221110	16:20:44	916b85b6-e68f-40cb-9f70-eb612767fdd8	POST	undefined	/auth
20221110	16:20:57	0feb9080-3115-4405-beb8-8384251d7d9d	POST	undefined	/employees
20221110	16:21:01	6c353d31-82fd-48ca-8890-fb1faecb5415	GET	undefined	/employees
20221110	16:22:26	8d67b574-dd04-4e44-9c5d-d9bce8080e93	POST	undefined	/employees
20221110	16:22:34	451e4ded-b2e9-449d-9c0e-25f4de50e162	POST	undefined	/auth
20221110	16:22:40	e1ec7913-5a82-49d4-b850-ba114d6314e8	POST	undefined	/employees
20221110	16:22:42	f839ff55-ca95-4914-babf-46d47f64650b	POST	undefined	/employees
20221110	16:49:46	ec7cfbfe-5ced-4ebd-9a5d-1e8848b89941	POST	undefined	/auth
20221110	16:49:54	83601c66-c64c-47db-900c-08e0784f390b	POST	undefined	/employees
20221110	16:50:36	fc89157f-d45b-40c8-a8f8-d3163f7e3ecd	POST	undefined	/employees
20221110	16:50:47	9ecc5f69-6de7-43a9-a7b3-059478b6fa07	POST	undefined	/auth
20221110	16:50:59	86e65969-99eb-4c0a-badf-15f08ca13cea	POST	undefined	/employees
20221110	16:51:17	2da584c0-2a26-42ed-9618-6bfcdd7614e5	GET	undefined	/employees
20221110	16:51:36	bd84a2b1-39d4-4676-a023-0a95bd2f6cf1	GET	undefined	/auth
20221110	16:51:44	6a7d7c59-2c5a-4a22-9eec-bd33400ecc60	POST	undefined	/auth
20221110	16:51:59	cad845d9-21c3-4a87-868f-eeed5ee3da48	POST	undefined	/employees
20221110	16:59:43	4d1554b9-f25f-4a3a-b7dd-1a5ea5d87689	POST	undefined	/auth
20221110	16:59:52	15bffabf-7080-4c1b-b776-24e3fab072cd	POST	undefined	/auth
20221110	16:59:54	c1301924-d107-4f97-8f22-86d3f3a8529a	POST	undefined	/auth
20221110	17:00:03	f930e492-efb5-4e10-ba0c-516765ae10b7	POST	undefined	/auth
20221110	17:00:08	68b61207-ee41-424b-a236-044f41e98322	POST	undefined	/auth
20221110	17:00:18	e1e1c9c1-cfe7-4b45-9c4b-0a53b9b1c8bd	POST	undefined	/auth
20221110	17:00:58	d0921837-da0c-46d4-ba3a-987265d47633	POST	undefined	/auth
20221110	17:04:58	b76477f3-d956-4a7b-8ab8-35a8cca8e2b0	POST	undefined	/auth
20221110	17:06:35	ef64c089-d8a4-44c7-9dba-fd538afdb3b6	POST	undefined	/auth
20221110	17:06:58	b29c076a-cc7b-49fc-a401-1d73a48bcf3e	DELETE	undefined	/employees
20221110	17:08:44	b9543f0c-374e-4b67-8ae0-e388e2225b6b	POST	undefined	/auth
20221110	17:08:54	7ce12381-b8a9-48ca-8406-c91a43672c4a	DELETE	undefined	/employees
20221110	17:11:25	551eeb50-eaa4-400c-b538-ef78748c393a	POST	undefined	/auth
20221110	17:11:37	77877419-e55c-43dc-b924-ceab2cc7c192	POST	undefined	/auth
20221110	17:11:53	05f22a73-4d83-4ae1-8ad6-4033108f4e31	DELETE	undefined	/employees
20221110	17:14:40	86289283-11b4-4617-a9b0-537935cf5179	POST	undefined	/auth
20221110	17:14:51	bf3a61cb-43a5-47b0-8556-c082708da39f	DELETE	undefined	/employees
20221110	22:57:14	7fadbe78-9d0b-4529-b14e-e2a5b0eb717e	OPTIONS	null	/register
